deal_id,promotion_id,plan_id
MLA20696,7dddeb20-53a3-11ed-afbd-0242ac130004,836
MLB12847,ad3d0323-53a3-11ed-afbd-0242ac130004,835
MLB12805,981309f8-53a3-11ed-add9-0242ac130004,834
MLM23876,c09315a8-53a3-11ed-add9-0242ac130004,837
